Michelle Paolillo,Director of social marketing,John Wiley & Sons,http://www.wiley.com
Chad Pollitt,Director of Social Media and Search Marketing,Kuno Creative,http://www.kunocreative.com
Evonne Heyning,Director of Social & Strategy,EDDEFY,http://www.eddefy.com
John McGrane,Director of Social & Product Marketing,Sqor.com,http://www.sqor.com
Sean Carroll,Director of Social Media,SPORT195,http://nms.com
David Tejeras,Director of Social Media,Brand.com,http://www.brand.com
Jeff Kingman,Director of Social Business,DigitalCoCo,http://www.digitalcoco.com
Ashley Groves,Director of Social Media,GiveForward,http://www.giveforward.com
Shauna Gleason,Director of Social Media,ALOHA,http://ALOHA.com
Yasmine El Tabib,Director of Social Media,Utrip,http://utrip.com
Nicolette Anderson,Director of Social Marketing,BusyEvent,http://www.busyevent.com
Becky Carroll,Director of Social Media,Brickfish,http://www.brickfish.com
Kimberly Gomez,Director of Social Media Marketing,Weemba,http://www.weemba.com
Andy Gonzalez,Director of Social Strategy,Speak Social,http://www.speaksocial.net
Nicole Striebel,Director of Social Marketing and Brand Communication,SpeedETab,
Jerod Morris,Director of Social Media,HostCo,http://wphost.co
Heather Smith,Director of Social Media,ZOG Digital,http://www.zogdigital.com
Mary Rivers,Director of Social Media,GigDog,http://www.gigdog.fm
Daantje G,Director of Social Media,Tritab,http://www.facebook.com/mytritab
Ashley Dana,Director of Social Media,NCLUSIVE,http://www.nclusive.com
Victoria Fortnum,Director of Social Media,OrangeSlyce,http://www.orangeslyce.com
Jonathan Gale,Director of Social Media Relations & Content Development,Sparkology,http://sparkology.com
Nick Dzienny,Director of Social Media,Kakoona,http://kakoona.com
Brittany Confer,Director of Social Media,Kip Morrison & Associates,http://www.kipmorrison.com
Julie Perry,Director of Social Media,BLASTmedia,http://www.blastmedia.com
Evan Mascagni,Founding Partner + Director of Social Impact,zerobound,http://zerobound.com
Adam Navarrete,Business Development & Director of Social Media Marketing,Kaleio,http://kaleio.com
David Hicks,Director of Marketing & Social Media,Manpacks,http://manpacks.com
Melody Wilding,Director of Communications & Social Media,eCaring,http://www.ecaring.com
Sasha Grosman,Director of Marketing / Social Media,Dailybreak Media,http://www.dailybreakmedia.com
Andy McKenna,"Director, Chair of Social Enterprise Committee",IrishAngels,http://irishangels.com
Mary Cochran,Director of Marketing & Social Media,Catapult PR-IR,http://www.catapultpr-ir.com
Jonathan Greenblatt,"Special Assistant to the President and Director, Office of Social Innovation & Civic Participation",The White House,
Danielle Gustafson,Director of Digital and Social Media,CIT Group,http://www.cit.com
Ben Edick,Director of Product Management & Social Media,Welltok,http://www.welltok.com
Jared Hall,Director of Mobile and Social Applications,Thought Division,http://www.thoughtdivision.com
Amy Armitage,Director of Marketing and Social Media Strategies,Jelastic,http://jelastic.com
Julie Taylor,Director of Editorial and Social Media,FamilyFinds,http://www.familyfinds.com
Ashley Highfield,Non Executive Director - Chair of Corp Social Resp Cottee,william hill,
Arvind Muthukrishnan,"Director of Products, Mobile and Social Apps",findly,http://www.findly.com
Jose Reyes,Director of Product,SocialWire,http://www.socialwire.com
Nick Gonzalez,Director of Marketing,SocialMedia.com,http://socialmedia.com
Daniel Blahut,Director of Finance and Ops,SocialWire,http://www.socialwire.com
Tim Feng,Co-Founder & Director of QA,SocialTagg,http://socialtagg.com
Julia Lavine,Director of Marketing,SocialVest,http://www.socialvest.us
Cesar Christoforidis,Director of ROW,Socialbakers,http://www.socialbakers.com
Laura Grigerova,Director of Communications,Socialbakers,http://www.socialbakers.com
Alexander Raiman,Director of Sales and Marketing Operations,Socialbakers,http://www.socialbakers.com
Carrie Young,Director of Marketing and Client Development,Socialcast,http://socialcast.com
Louis Tang,"Director of Engineering, Android",SocialTagg,http://socialtagg.com
Zhao Lu,Director of Engineering,SocialChorus,http://www.capocreative.com
David Jordan,Co-founder & Director of User Experience,SocialCalendar,http://www.socialcalendar.com
Christina Royster,Director of Marketing and Communications,"SocialToaster, Inc.",http://socialtoaster.com
Michael Torres,Director of Product Development,SocialChorus,http://www.capocreative.com
Philippe Pierre,Director of Business Development,Socialbomb,http://www.socialbomb.com
Joe Mirandi,Director of Marketing / Biz Dev,SocialTagg,http://socialtagg.com
Heather Morgan,Director of Marketing,Socialplex Inc.,http://www.socialplex.com
Oliver Muyshondt,Director of Marketing,SocialBuy,http://www.socialbuy.com
Joe Cox,Director of Marketing,SocialVolt,http://www.socialvolt.com
Bryn Waldwick,Managing Director of Research & Development,SociaLive,http://web.mit.edu
Lesly Jerome,Director of Operations,The Social Cities,http://www.thesocialcities.com
Stephanie Bogus,Director of Content Strategy,Speak Social,http://www.speaksocial.net
Jeremy Straker,Sr. Director - Head of UK & Ireland,Socialbakers,http://www.socialbakers.com
Vincent Camara,"Sr. Director - Head of Sales, France",Socialbakers,http://www.socialbakers.com
Blake Robinson,"Director, Social Strategy & Development","Annalect Group, part of Omnicom Media Group",
John Quaresma,Director of Product Engineering,Sociable Labs,http://www.sociablelabs.com
JT Boyd,Directtor Of Strategic Alliance,Social Solutions,http://www.socialsolutions.com
Scott Hemming,"Board of Directors | SVP, Revolution Studios",SocialNotions,http://www.socialnotions.com
Jennifer G,Director of Client Relations and Social Media,Agent Image,http://www.agentimage.com
Janet Gershen-Siegel,Director of Public Relations and Social Media,Neuron Robotics,http://www.NeuronRobotics.com
Steve Cole,Director OF Product,Social Solutions,http://www.socialsolutions.com
Cappy Pratt,Director of Client Services,Social Media Advertising Consortium (SMAC),
Fred Bubbers,Director Of Development,Social Solutions,http://www.socialsolutions.com
Rebecca Wagman,Director of Sales,Social Solutions,http://www.socialsolutions.com
Kimberly Prescott,Director Of HR,Social Solutions,http://www.socialsolutions.com
April Rose,Director Of Account Management,Social Solutions,http://www.socialsolutions.com
Drew Wittig,Director of Campaign Management,Social Media Gateways,http://socialmediagateways.com
Ingvild Bjornvold,Director Of Strategic Initiatives,Social Solutions,http://www.socialsolutions.com
Emily Megnin,Director Of Customer Support,Social Solutions,http://www.socialsolutions.com
Adam Douglass,Director Of R&D,Social Solutions,http://www.socialsolutions.com
Cullie Burris,Director of Business Development,Social Network MD,http://www.socialnetworkmd.com
Jack Nycz,Director of Web Design and Development,Social Network MD,http://www.socialnetworkmd.com
Jennifer Spivak,Director of Marketing,Social Fulcrum,http://www.socialfulcrum.com
Aalok Purohit,Director of Business Development,Social Catalyst,http://www.socialcatalyst.in
Bart San Diego,Director of Sales,Social Annex,http://www.socialannex.com/public
Mike Schroll,"Co-Founder, Director of Operations",SocialSci,http://www.socialsci.com
Monica Keller,Director of Engineering,Socialcast,http://socialcast.com
Charles Campbell,Co-Founder/Director of Technology,SocialVest,http://www.socialvest.us
